t_out_sec,t_out_nanosec,t_imu_sec,t_imu_nanosec,t_cmd_sec,t_cmd_nanosec,imu_vx,imu_vy,imu_vz,cmd_vx,cmd_vy,cmd_vz
1761030672,494185379,1761030672,494232842,1761030672,494185379,0.0,0.0,0.0,0.0,0.0,26.971069689000046
1761030672,541648087,1761030672,541606809,1761030672,541648087,0.0,0.0,0.0,0.0,0.0,27.042898732000026
1761030672,634906629,1761030672,632533757,1761030672,634906629,0.0,0.0,0.0,0.0,0.0,27.090357124000093
1761030672,708932266,1761030672,694050365,1761030672,708932266,0.0,0.0,0.0,0.0,0.0,27.183544852000068
1761030672,778499455,1761030672,778553900,1761030672,778499455,0.0,0.0,0.0,0.0,0.0,27.25749237800005
1761030672,909074734,1761030672,890978144,1761030672,909074734,0.0,0.0,0.0,0.0,0.0,27.408582100000103
1761030673,8906263,1761030673,6424428,1761030673,8906263,0.0,0.0,0.0,0.0,0.0,27.509265852
1761030673,76358784,1761030673,76172321,1761030673,76358784,0.0,0.0,0.0,0.0,0.0,27.55755015300008
1761030673,135521575,1761030673,119512709,1761030673,135521575,0.0,0.0,0.0,0.0,0.0,27.62503398800004
1761030673,209741268,1761030673,196039534,1761030673,209741268,0.0,0.0,0.0,0.0,0.0,27.684111927000004
1761030673,261889553,1761030673,261983498,1761030673,261889553,0.0,0.0,0.0,0.0,0.0,27.758300046000045
1761030673,325128033,1761030673,308613908,1761030673,325128033,0.0,0.0,0.0,0.0,0.0,27.810537387000068
1761030673,625558771,1761030673,608022293,1761030673,625558771,0.0,0.0,0.0,0.0,0.0,28.125397934000034
1761030673,678284390,1761030673,678381890,1761030673,678284390,0.0,0.0,0.0,0.0,0.0,28.174165272000096
1761030673,758921700,1761030673,758685107,1761030673,758921700,0.0,0.0,0.0,0.0,0.0,28.22696818700001
1761030673,856556561,1761030673,827367517,1761030673,856556561,0.0,0.0,0.0,0.0,0.0,28.307569904000047
1761030673,924471897,1761030673,908603587,1761030673,924471897,0.0,0.0,0.0,0.0,0.0,28.40522343200007
1761030674,28584689,1761030674,28869300,1761030674,28584689,0.0,0.0,0.0,0.0,0.0,28.473066027000073
1761030674,91849317,1761030674,77402564,1761030674,91849317,0.0,0.0,0.0,0.0,0.0,28.577327153000056
1761030674,159816357,1761030674,159839023,1761030674,159816357,0.0,0.0,0.0,0.0,0.0,28.64048054
1761030674,258298219,1761030674,228545045,1761030674,258298219,0.0,0.0,0.0,0.0,0.0,28.708515487
1761030674,310736874,1761030674,310858115,1761030674,310736874,0.0,0.0,0.0,0.0,0.0,28.80700153400005
1761030674,410898830,1761030674,410727867,1761030674,410898830,0.0,0.0,0.0,0.0,0.0,28.85943707900003
